Date,Open,High,Low,Close
2017/9/7,10564.79,10604.02,10509.91,10538.51
2017/9/6,10593.87,10604.92,10519.71,10547.86
2017/9/5,10584.1,10617.84,10564.26,10617.84
2017/9/4,10585.44,10610.04,10555.34,10569.87
2017/9/1,10576.27,10619.52,10568.72,10594.82
2017/8/31,10586.65,10609.48,10551.95,10585.78
2017/8/30,10511.59,10574.53,10511.59,10569.4
2017/8/29,10518.69,10518.69,10463.22,10496.57
2017/8/28,10502.8,10542.37,10498.88,10525.98
2017/8/25,10497.86,10519.84,10478.72,10515.51
2017/8/24,10414.66,10488.96,10410.73,10488.96
2017/8/23,10418.32,10458.91,10378.01,10406.81
2017/8/22,10353.37,10410.47,10353.37,10392.07
2017/8/21,10316.09,10336.37,10282.72,10326.39
2017/8/18,10324.83,10330.39,10259.83,10321.33
2017/8/17,10302.54,10372.41,10302.54,10369.37
2017/8/16,10302.83,10322.38,10245.72,10290.39
2017/8/15,10271.03,10336.22,10271.03,10311.16
2017/8/14,10347.66,10365.22,10225.28,10225.28
2017/8/11,10267.05,10338.06,10238.5,10329.57
2017/8/10,10470.03,10477.79,10303.47,10329.74
2017/8/9,10523.51,10536.19,10457.52,10470.38
2017/8/8,10598.59,10619.42,10533.72,10568.97
2017/8/7,10521.69,10592.31,10521.69,10579.38
2017/8/4,10470.96,10510.7,10466.25,10506.56
2017/8/3,10464.1,10478.62,10427.72,10469.88
2017/8/2,10479.26,10519.27,10479.26,10519.27
2017/8/1,10408.53,10470.03,10408.53,10437.29
2017/7/31,10396.76,10427.33,10366.17,10427.33
2017/7/28,10480.67,10480.67,10410.53,10423.05
2017/7/27,10427.83,10516.23,10427.83,10508.37
2017/7/26,10477.15,10500.11,10416.57,10419.11
2017/7/25,10455.14,10473.98,10442.85,10463.15
2017/7/24,10426.13,10461.28,10406.81,10461.28
2017/7/21,10468.47,10477.72,10428.56,10436.7
2017/7/20,10513.12,10534.52,10483.54,10499.36
2017/7/19,10472.81,10537.42,10472.81,10506.1
2017/7/18,10447.47,10481.26,10429.85,10481.26
2017/7/17,10467.27,10490.05,10436.31,10457.54
2017/7/14,10450.92,10466.34,10423.4,10443.91
2017/7/13,10418.74,10485.28,10418.74,10460.15
2017/7/12,10396.97,10450.87,10393.54,10420.68
2017/7/11,10313.08,10415.57,10313.08,10415.57
2017/7/10,10310.74,10331.11,10283.95,10289.91
